# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
103 1.0519395134779752 50.0 280.0 306.84899287386884 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.3979857477377
104 1.0254766864284568 50.0 280.0 303.3601286767933 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.4202573535866
105 1.0 50.0 280.0 300.00155368441995 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7031073688399
106 0.9754610577655846 50.0 280.0 296.76610077892957 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 257.23220155785924
107 0.9518143961927424 50.0 280.0 293.6482542736051 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 250.99650854721028
108 0.9290172739149366 50.0 280.0 290.6424565986191 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 244.9849131972383
109 0.9070294784580498 50.0 280.0 287.7433409414386 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 239.18668188287722
110 0.8858131487889274 50.0 280.0 284.9459256577036 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 233.59185131540713
111 0.8653326122228233 50.0 280.0 282.24551460552334 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 228.19102921104673
112 0.8455542343770645 50.0 280.0 225.69226332201265 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.08452664402535
113 0.8264462809917354 50.0 280.0 224.39191124676296 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.48382249352596
114 1.306122448979592 60.0 280.0 340.36310722834946 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.4262144566989
115 1.2695893671890497 60.0 280.0 335.5462442909201 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.7924885818402
116 1.2345679012345678 60.0 280.0 330.92860579974484 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.55721159948985
117 1.2009757928316758 60.0 280.0 326.4994373767827 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.6988747535654
