# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
38 1.306122448979592 20.0 280.0 339.22483226779553 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 342.14966453559117
39 1.2695893671890497 20.0 280.0 334.43980761035795 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 332.57961522071594
40 1.2345679012345678 20.0 280.0 329.8526931555468 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.40538631109354
41 1.2009757928316758 20.0 280.0 325.4528036222832 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 314.6056072445665
42 1.168736303871439 20.0 280.0 321.2300921752457 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 306.1601843504914
43 1.1377777777777778 20.0 280.0 317.17517898329044 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 298.0503579665809
44 1.10803324099723 20.0 280.0 313.27921622978045 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 290.25843245956094
45 1.0794400404790014 20.0 280.0 309.53411334586775 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 282.76822669173555
46 1.0519395134779752 20.0 280.0 305.93210851319236 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 275.56421702638465
47 1.0254766864284568 20.0 280.0 302.4667994115906 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 268.6335988231813
48 1.0 20.0 280.0 299.1299231013657 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 261.95984620273146
49 0.9754610577655846 20.0 280.0 295.32748513291546 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 254.35497026583099
50 0.9518143961927424 20.0 280.0 291.1994139077833 90.0 77.83045665700186 90.0 77.83045665700186 -77.83045665700186 -90.0 -77.83045665700186 -90.0 0.5 246.0988278155667
51 0.9290172739149366 20.0 280.0 286.81257554910917 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 237.3251510982184
52 0.9070294784580498 20.0 280.0 281.47245785662125 90.0 59.901955813274874 90.0 59.901955813274874 -59.901955813274874 -90.0 -59.901955813274874 -90.0 0.5 226.64491571324243
53 0.8858131487889274 20.0 280.0 275.76287309270907 90.0 50.83050677816714 90.0 50.83050677816714 -50.83050677816714 -90.0 -50.83050677816714 -90.0 0.5 215.2257461854181
54 0.8653326122228233 20.0 280.0 264.2122100504596 90.0 36.54868485589703 90.0 36.54868485589703 -36.54868485589703 -90.0 -36.54868485589703 -90.0 0.5 192.1244201009192
55 0.8455542343770645 20.0 280.0 225.31185304281723 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 114.32370608563451
56 0.8264462809917354 20.0 280.0 224.0201668908192 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.74033378163853
57 1.306122448979592 30.0 280.0 339.60536059755253 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 342.9107211951051
58 1.2695893671890497 30.0 280.0 334.8096923189097 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 333.31938463781944
59 1.2345679012345678 30.0 280.0 330.212373580932 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 324.1247471618641
60 1.2009757928316758 30.0 280.0 325.80269601743925 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 315.30539203487865
61 1.168736303871439 30.0 280.0 321.5705903987777 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 306.8411807975555
62 1.1377777777777778 30.0 280.0 317.5066559724508 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 298.71331194490165
63 1.10803324099723 30.0 280.0 313.60202268364833 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 290.90404536729665
64 1.0794400404790014 30.0 280.0 309.8485825248833 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 283.3971650497666
65 1.0519395134779752 30.0 280.0 306.2386275590969 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 276.1772551181939
66 1.0254766864284568 30.0 280.0 302.7655104538705 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 269.23102090774097
67 1.0 30.0 280.0 299.4213251570649 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.5426503141299
68 0.9754610577655846 30.0 280.0 296.20007864093964 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 256.1001572818793
69 0.9518143961927424 30.0 280.0 293.09594114320845 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 249.89188228641692
70 0.9290172739149366 30.0 280.0 290.10336769075957 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 243.90673538151924
71 0.9070294784580498 30.0 280.0 283.6568210410984 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 231.01364208219684
72 0.8858131487889274 30.0 280.0 274.24711088027107 90.0 50.83050677816714 90.0 50.83050677816714 -50.83050677816714 -90.0 -50.83050677816714 -90.0 0.5 212.19422176054218
73 0.8653326122228233 30.0 280.0 226.77908404817623 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.25816809635253
74 0.8455542343770645 30.0 280.0 225.43904781031006 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 114.57809562062023
75 0.8264462809917354 30.0 280.0 224.14436447756407 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.98872895512811
76 1.306122448979592 40.0 280.0 339.945908167384 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 343.5918163347681
77 1.2695893671890497 40.0 280.0 335.1407145550085 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 333.981429110017
