# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
99 1.325 23.5 280.0 258.32253575189725 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.3450715037946 warming
100 1.3375 23.5 280.0 259.1732234803801 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.0464469607603 warming
101 1.35 23.5 280.0 260.023911208863 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.74782241772613 warming
102 1.3625 23.5 280.0 260.87459893734587 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 185.44919787469178 warming
103 1.375 23.5 280.0 261.7252866658287 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.15057333165754 warming
104 1.3875 23.5 280.0 262.57597439431163 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 188.85194878862325 warming
105 1.4 23.5 280.0 263.4266621227945 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.55332424558898 warming
106 1.4125 23.5 280.0 354.3970536913354 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 372.4941073826709 warming
107 1.425 23.5 280.0 356.0452732307664 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.79054646153287 warming
108 1.4375 23.5 280.0 357.6934807066747 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 379.0869614133494 warming
109 1.45 23.5 280.0 359.34168817981174 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.3833763596236 warming
110 1.4625 23.5 280.0 360.9898956529481 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 385.67979130589634 warming
111 1.475 23.5 280.0 362.6381031260846 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.9762062521693 warming
112 1.4875 23.5 280.0 364.286310599221 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 392.2726211984421 warming
113 1.5 23.5 280.0 365.93451807235743 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5690361447149 warming
