# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
93 1.4257072844731566 60.0 280.0 356.1305450107087 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.96109002141753
94 1.384083044982699 60.0 280.0 262.3394087798193 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 188.37881755963855
95 1.3442554085276202 60.0 280.0 259.6289942640193 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.95798852803864
96 1.306122448979592 60.0 280.0 257.03399773588626 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.76799547177254
97 1.2695893671890497 60.0 280.0 254.5478749294711 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79574985894226
98 1.2345679012345678 60.0 280.0 252.1645347858975 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.02906957179505
99 1.2009757928316758 60.0 280.0 249.878555644234 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45711128846804
100 1.168736303871439 60.0 280.0 247.68453561990137 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.06907123980275
101 1.1377777777777778 60.0 280.0 245.57778215406972 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.85556430813946
102 1.10803324099723 60.0 280.0 243.55364167133504 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.8072833426701
103 1.0794400404790014 60.0 280.0 241.60776908792675 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91553817585358
104 1.0519395134779752 60.0 280.0 239.7363436007209 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17268720144185
105 1.5624999999999996 70.0 280.0 374.16754271941903 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03508543883817
106 1.5147928994082842 70.0 280.0 367.8773503621437 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4547007242875
107 1.4692378328741966 70.0 280.0 361.8708365730473 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.4416731460948
108 1.4257072844731566 70.0 280.0 356.13123017767225 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.9624603553445
109 1.384083044982699 70.0 280.0 350.64299434860595 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 364.98598869721195
