# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
129 1.425 60.0 280.0 356.0372657310073 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.77453146201475
130 1.45 60.0 280.0 359.33352885507463 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.36705771014925
131 1.475 60.0 280.0 362.6297978511483 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.9595957022966
132 1.5 60.0 280.0 365.9260939275362 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5521878550724
133 1.05 70.0 280.0 239.60454582393032 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.9090916478607
134 1.075 70.0 280.0 241.3059050312021 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.31181006240422
135 1.1 70.0 280.0 243.0071749089768 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.7143498179536
136 1.125 70.0 280.0 244.7085399679613 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11707993592262
137 1.15 70.0 280.0 246.40981735694922 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.51963471389845
138 1.175 70.0 280.0 248.1111843694843 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92236873896866
139 1.2 70.0 280.0 249.8124678669964 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32493573399285
140 1.225 70.0 280.0 251.5137513645085 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.72750272901706
141 1.25 70.0 280.0 253.2150348620206 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.13006972404125
