# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
51 1.0 23.5 1.2648552168552962 221.76006231859677 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092255195044 warming
52 1.0 23.5 1.599858719606058 222.38857350473336 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243971329 warming
53 1.0 23.5 2.023589647725157 223.01708525169315 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640765 warming
54 1.0 23.5 2.5595479226995357 223.64559699901548 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640765 warming
55 1.0 23.5 3.237457542817644 224.27410874633762 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640728 warming
56 1.0 23.5 4.094915062380426 224.9026204936602 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640774 warming
57 1.0 23.5 5.179474679231212 225.53113224098234 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964073 warming
58 1.0 23.5 6.551285568595509 226.15964398830494 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640777 warming
59 1.0 23.5 8.286427728546844 226.7881557356271 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640737 warming
60 1.0 23.5 10.481131341546858 227.4166674829497 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640785 warming
61 1.0 23.5 13.257113655901088 228.04517923027186 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640746 warming
62 1.0 23.5 16.768329368110084 228.67369097759445 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640788 warming
63 1.0 23.5 21.209508879201906 229.30220272491655 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640746 warming
64 1.0 23.5 26.826957952797258 229.93071447223917 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640797 warming
65 1.0 23.5 33.93221771895328 230.55922621956134 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640757 warming
66 1.0 23.5 42.91934260128778 231.18773796688387 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
67 1.0 23.5 54.286754393238596 231.8162497142061 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640765 warming
68 1.0 23.5 68.66488450043002 232.44476146152857 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
69 1.0 23.5 86.85113737513525 233.0732732088508 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640765 warming
70 1.0 23.5 109.85411419875584 233.70178495617316 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640768 warming
